playerid_fg,name,name_clean
judgeaa01,Aaron Judge,aaron judge
nolaaa01,Aaron Nola,aaron nola
fraziad01,Adam Frazier,adam frazier
wainwad01,Adam Wainwright,adam wainwright
bargead01,Addison Barger,addison barger
rutscad01,Adley Rutschman,adley rutschman
garciad02,Adolis García,adolis garcía
ramirag01,Agustín Ramírez,agustín ramírez
polloaj01,AJ Pollock,aj pollock
bohmal01,Alec Bohm,alec bohm
burleal01,Alec Burleson,alec burleson
kirkal01,Alejandro Kirk,alejandro kirk
manoaal01,Alek Manoah,alek manoah
bregmal01,Alex Bregman,alex bregman
verdual01,Alex Verdugo,alex verdugo
rosaram01,Amed Rosario,amed rosario
pallaan01,Andre Pallante,andre pallante
gimenan01,Andrés Giménez,andrés giménez
abbotan01,Andrew Abbott,andrew abbott
beninan01,Andrew Benintendi,andrew benintendi
mccutan01,Andrew McCutchen,andrew mccutchen
vaughan01,Andrew Vaughn,andrew vaughn
pagesan01,Andy Pages,andy pages
desclan01,Anthony DeSclafani,anthony desclafani
rizzoan01,Anthony Rizzo,anthony rizzo
santaan02,Anthony Santander,anthony santander
volpean01,Anthony Volpe,anthony volpe
gombeau01,Austin Gomber,austin gomber
haysau01,Austin Hays,austin hays
meadoau01,Austin Meadows,austin meadows
rileyau01,Austin Riley,austin riley
garciav01,Avisaíl García,avisaíl garcía
oberba01,Bailey Ober,bailey ober
ricebe01,Ben Rice,ben rice
snellbl01,Blake Snell,blake snell
bichebo01,Bo Bichette,bo bichette
wittbo02,Bobby Witt Jr.,bobby witt jr
singebr01,Brady Singer,brady singer
crawfbr01,Brandon Crawford,brandon crawford
drurybr01,Brandon Drury,brandon drury
lowebr01,Brandon Lowe,brandon lowe
nimmobr01,Brandon Nimmo,brandon nimmo
pfaadbr01,Brandon Pfaadt,brandon pfaadt
woodrbr01,Brandon Woodruff,brandon woodruff
bellobr01,Brayan Bello,brayan bello
donovbr01,Brendan Donovan,brendan donovan
rodgebr02,Brendan Rodgers,brendan rodgers
rookebr01,Brent Rooker,brent rooker
doylebr02,Brenton Doyle,brenton doyle
turanbr02,Brice Turang,brice turang
leebr02,Brooks Lee,brooks lee
delacbr01,Bryan De La Cruz,bryan de la cruz
reynobr01,Bryan Reynolds,bryan reynolds
woobr01,Bryan Woo,bryan woo
elderbr01,Bryce Elder,bryce elder
harpebr03,Bryce Harper,bryce harper
millebr04,Bryce Miller,bryce miller
stottbr01,Bryson Stott,bryson stott
buxtoby01,Byron Buxton,byron buxton
croncj01,C.J. Cron,cj cron
quantca01,Cal Quantrill,cal quantrill
raleica01,Cal Raleigh,cal raleigh
durbica01,Caleb Durbin,caleb durbin
correca01,Carlos Correa,carlos correa
rodonca01,Carlos Rodón,carlos rodón
santaca01,Carlos Santana,carlos santana
rafaece01,Ceddanne Rafaela,ceddanne rafaela
mullice01,Cedric Mullins,cedric mullins
hernace02,César Hernández,césar hernández
blackch02,Charlie Blackmon,charlie blackmon
mortoch02,Charlie Morton,charlie morton
meidrch01,Chase Meidroth,chase meidroth
bassich01,Chris Bassitt,chris bassitt
flexech01,Chris Flexen,chris flexen
salech01,Chris Sale,chris sale
tayloch03,Chris Taylor,chris taylor
walkech02,Christian Walker,christian walker
yelicch01,Christian Yelich,christian yelich
morelch01,Christopher Morel,christopher morel
abramcj01,CJ Abrams,cj abrams
holmecl01,Clay Holmes,clay holmes
bellico01,Cody Bellinger,cody bellinger
irvinco01,Cole Irvin,cole irvin
raganco01,Cole Ragans,cole ragans
reaco01,Colin Rea,colin rea
keithco01,Colt Keith,colt keith
cowseco01,Colton Cowser,colton cowser
burneco01,Corbin Burnes,corbin burnes
carroco02,Corbin Carroll,corbin carroll
klubeco01,Corey Kluber,corey kluber
seageco01,Corey Seager,corey seager
javiecr01,Cristian Javier,cristian javier
