team,starting_league,relegation_risk_per_season,promotion_risk_per_season,2027_nba_pct,2028_nba_pct,2029_nba_pct,2030_nba_pct,2031_nba_pct,2032_nba_pct,2033_nba_pct,2034_nba_pct,2035_nba_pct,2036_nba_pct
G: Ignite,G,0.000%,10.000%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
G: Motor City,G,0.000%,10.000%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
G: Salt Lake City,G,0.010%,10.000%,83.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.9%
G: South Bay,G,0.010%,10.010%,67.8%,99.7%,100.0%,100.0%,100.0%,100.0%,99.9%,100.0%,100.0%,100.0%
G: Westchester,G,0.130%,10.090%,31.1%,97.3%,100.0%,100.0%,99.8%,99.8%,100.0%,99.8%,99.7%,99.6%
G: Fort Wayne,G,0.400%,10.330%,17.5%,94.5%,99.9%,99.7%,99.6%,99.3%,99.3%,99.5%,99.4%,99.3%
G: Capital City,G,10.170%,18.440%,0.6%,36.8%,90.8%,79.5%,85.3%,81.3%,87.8%,82.7%,83.2%,82.7%
G: Lakeland,G,10.920%,13.330%,0.0%,0.1%,5.9%,23.9%,15.5%,21.4%,18.7%,23.0%,21.3%,24.1%
G: Grand Rapids,G,14.240%,21.480%,0.1%,20.9%,85.1%,68.8%,81.8%,69.3%,76.4%,73.1%,75.5%,72.4%
G: Greensboro,G,15.160%,17.860%,0.0%,0.0%,15.3%,35.7%,21.1%,30.9%,27.1%,27.4%,27.4%,27.0%
G: Maine,G,17.930%,21.570%,0.0%,0.3%,22.2%,42.2%,30.8%,36.3%,34.8%,35.5%,33.6%,36.4%
G: Memphis,G,18.330%,24.490%,0.0%,9.5%,71.4%,60.7%,69.6%,62.0%,66.3%,61.4%,63.3%,61.6%
G: Texas,G,19.600%,23.590%,0.0%,1.3%,38.2%,47.9%,39.2%,42.8%,40.1%,40.5%,41.6%,39.9%
G: Long Island,G,2.190%,11.880%,4.0%,80.9%,99.3%,97.1%,96.9%,96.5%,96.8%,95.9%,96.7%,96.9%
G: Birmingham,G,20.330%,25.480%,0.0%,3.5%,58.5%,54.2%,54.9%,53.6%,53.3%,50.1%,48.7%,51.5%
G: Canton,G,3.160%,4.060%,0.0%,0.0%,0.6%,3.2%,3.3%,5.5%,5.6%,7.6%,7.1%,9.0%
G: Windy City,G,5.380%,14.420%,1.1%,55.2%,96.3%,90.4%,92.8%,92.5%,92.5%,91.6%,91.3%,90.4%
G: Santa Cruz,G,8.010%,9.570%,0.0%,0.0%,4.8%,13.8%,8.4%,13.5%,12.2%,16.5%,17.6%,15.6%
Oklahoma City Thunder,NBA,0.000%,0.000%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
San Antonio Spurs,NBA,0.000%,0.000%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Detroit Pistons,NBA,0.000%,0.000%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Boston Celtics,NBA,0.090%,0.080%,100.0%,100.0%,100.0%,100.0%,99.8%,100.0%,100.0%,99.7%,99.6%,99.9%
Denver Nuggets,NBA,0.190%,0.180%,100.0%,100.0%,100.0%,99.7%,99.8%,99.6%,99.7%,99.4%,100.0%,99.9%
Los Angeles Lakers,NBA,0.290%,0.250%,100.0%,100.0%,100.0%,99.7%,99.8%,99.8%,99.4%,99.2%,99.5%,99.6%
New York Knicks,NBA,0.340%,0.280%,100.0%,100.0%,100.0%,99.3%,99.4%,99.6%,99.8%,99.6%,99.4%,99.4%
Houston Rockets,NBA,0.610%,0.460%,100.0%,100.0%,99.8%,99.2%,99.6%,99.4%,98.6%,98.9%,99.2%,98.5%
Cleveland Cavaliers,NBA,0.640%,0.500%,100.0%,100.0%,100.0%,99.6%,99.4%,99.7%,98.9%,98.8%,98.6%,98.6%
Washington Wizards,NBA,10.050%,0.080%,4.4%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.2%,0.2%,0.3%
Indiana Pacers,NBA,10.120%,0.160%,16.9%,0.1%,0.0%,0.0%,0.0%,0.1%,0.6%,0.3%,0.2%,0.4%
Brooklyn Nets,NBA,10.160%,0.240%,25.3%,0.1%,0.0%,0.0%,0.1%,0.2%,0.2%,0.4%,0.7%,0.8%
