player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc,gir_pct,scrambling_pct,putts_per_round,scoring_avg,season,sg_ballstriking,sg_shortgame
Aaron Baddeley,-0.081,-0.736,-0.122,0.52,0.256,284.9,59.51,64.89,61.28,1.74,56.25,2020,-0.858,0.776
Aaron Wise,-0.369,0.016,0.104,-0.01,-0.479,301.5,59.94,72.1,56.19,7.52,52.38,2020,0.12,-0.489
Abraham Ancer,0.897,0.328,0.335,-0.093,0.328,297.5,64.44,66.97,64.77,3.06,49.18,2020,0.663,0.23500000000000001
Adam Hadwin,0.573,-0.004,0.262,0.13,0.185,294.0,64.53,68.29,58.49,3.27,65.05,2020,0.258,0.315
Adam Long,0.533,0.004,0.358,-0.055,0.226,292.0,62.47,67.74,60.67,3.11,45.21,2020,0.362,0.171
Adam Schenk,0.303,0.279,0.001,-0.095,0.118,302.0,62.27,69.07,65.29,3.62,49.07,2020,0.28,0.022999999999999993
Adam Scott,0.905,-0.056,0.268,0.424,0.269,308.1,55.49,68.13,60.09,2.22,55.07,2020,0.21200000000000002,0.6930000000000001
Alex Noren,0.651,-0.231,0.039,0.443,0.4,296.0,58.11,64.78,63.66,1.74,58.59,2020,-0.192,0.843
Andrew Landry,-0.536,0.189,-0.169,-0.215,-0.341,289.7,65.72,64.11,59.21,3.7,46.24,2020,0.01999999999999999,-0.556
Andrew Putnam,-1.021,-1.121,-0.495,-0.246,0.841,277.9,57.03,63.77,60.33,2.43,51.9,2020,-1.616,0.595
Anirban Lahiri,-0.674,0.05,-0.56,0.057,-0.222,294.4,60.74,68.1,57.71,5.56,51.67,2020,-0.51,-0.165
Arjun Atwal,-1.002,-0.315,-0.377,0.238,-0.548,286.5,66.51,66.49,59.36,3.54,50.0,2020,-0.692,-0.31000000000000005
Austin Cook,-0.15,0.276,-0.492,-0.049,0.115,293.8,66.75,68.24,56.85,3.51,42.11,2020,-0.21599999999999997,0.066
Beau Hossler,-0.499,-0.16,-0.71,-0.085,0.456,306.6,53.9,65.17,57.62,1.32,51.82,2020,-0.87,0.371
Ben Martin,-0.259,-0.029,0.016,-0.259,0.014,283.6,64.41,67.13,62.91,3.24,48.21,2020,-0.013000000000000001,-0.245
Ben Taylor,-0.584,-0.337,-0.054,-0.192,-0.002,295.2,57.92,68.92,58.3,2.78,49.12,2020,-0.391,-0.194
Bill Haas,-1.064,-0.133,-0.128,0.265,-1.068,294.3,61.3,69.44,59.09,3.97,50.79,2020,-0.261,-0.803
Billy Horschel,0.771,0.286,-0.033,0.095,0.423,299.3,62.79,66.17,56.34,3.03,50.0,2020,0.253,0.518
Bo Hoag,-0.332,-0.143,-0.295,-0.015,0.122,294.7,63.18,69.98,56.35,2.65,40.19,2020,-0.43799999999999994,0.107
Bo Van Pelt,-2.46,-0.568,-1.06,-0.048,-0.783,291.7,59.23,65.12,49.26,3.27,25.86,2020,-1.6280000000000001,-0.8310000000000001
Branden Grace,0.053,-0.181,0.501,0.085,-0.352,297.3,55.67,68.43,59.66,4.44,53.13,2020,0.32,-0.26699999999999996
Brandon Hagy,-0.311,-0.059,-0.561,0.149,0.16,312.8,51.01,67.63,57.09,5.21,58.21,2020,-0.6200000000000001,0.309
Brandt Snedeker,0.192,-0.333,-0.336,0.514,0.347,288.5,61.94,65.93,63.08,3.13,55.56,2020,-0.669,0.861
Brendan Steele,0.708,0.081,0.539,-0.038,0.126,303.6,59.93,68.14,58.31,4.68,49.46,2020,0.62,0.088
Brendon Todd,0.397,-0.073,-0.119,0.092,0.498,282.7,71.36,65.5,66.1,1.33,61.6,2020,-0.192,0.59
Brian Gay,-0.578,-0.353,-0.293,-0.061,0.129,288.5,58.68,64.81,56.89,2.27,38.53,2020,-0.6459999999999999,0.068
Brian Harman,0.767,0.115,-0.018,0.362,0.308,293.0,63.28,65.67,64.94,1.01,60.98,2020,0.097,0.6699999999999999
Brian Stuard,0.252,-0.245,0.083,0.3,0.114,281.5,71.84,65.09,62.28,1.39,50.0,2020,-0.16199999999999998,0.414
Brice Garnett,0.324,0.193,-0.114,0.027,0.218,290.6,64.36,69.92,62.1,2.63,48.31,2020,0.079,0.245
Bronson Burgoon,0.268,-0.067,0.055,-0.083,0.363,294.6,59.57,66.88,59.49,3.09,53.33,2020,-0.012000000000000004,0.27999999999999997
Brooks Koepka,0.42,0.362,0.322,-0.028,-0.236,307.0,53.75,66.81,51.46,3.85,43.84,2020,0.6839999999999999,-0.264
Bryson DeChambeau,1.566,1.039,-0.09,-0.041,0.658,322.1,57.37,68.46,63.92,1.63,62.89,2020,0.949,0.617
Bubba Watson,0.711,0.649,0.208,-0.209,0.064,311.0,57.93,67.68,58.07,2.22,45.36,2020,0.857,-0.145
Bud Cauley,0.638,-0.116,0.322,0.38,0.052,290.5,59.02,65.57,64.29,2.05,66.99,2020,0.20600000000000002,0.432
Byeong Hun An,0.055,-0.05,0.256,0.373,-0.525,305.7,54.3,65.78,60.61,3.03,50.71,2020,0.20600000000000002,-0.15200000000000002
C.T. Pan,-0.852,-0.258,0.277,-0.104,-0.767,287.0,60.26,67.26,54.24,3.22,46.24,2020,0.019000000000000017,-0.871
Cam Davis,0.56,0.211,0.213,0.131,0.005,308.0,58.82,69.25,61.06,5.56,56.99,2020,0.424,0.136
Cameron Champ,0.39,0.999,-0.143,-0.293,-0.173,322.0,56.36,67.7,57.99,4.17,48.18,2020,0.856,-0.46599999999999997
Cameron Percy,0.113,-0.078,0.482,-0.264,-0.028,295.0,59.21,69.63,60.98,3.47,49.06,2020,0.40399999999999997,-0.29200000000000004
Cameron Smith,0.146,-0.245,0.02,0.091,0.28,299.8,54.46,64.06,59.18,2.34,57.52,2020,-0.225,0.371
Cameron Tringale,0.788,-0.125,0.632,0.195,0.086,301.9,54.03,69.66,64.24,3.4,50.0,2020,0.507,0.281
Carlos Ortiz,0.458,-0.087,0.122,0.327,0.095,300.3,55.36,66.74,62.65,3.54,48.67,2020,0.035,0.42200000000000004
Charles Howell III,0.177,-0.132,-0.3,0.392,0.217,301.1,54.57,68.76,57.47,3.61,50.48,2020,-0.432,0.609
Charley Hoffman,0.3,-0.032,0.28,-0.034,0.085,296.5,56.85,68.36,55.36,2.34,53.4,2020,0.24800000000000003,0.051000000000000004
Chase Seiffert,0.196,0.087,0.043,-0.233,0.3,291.3,62.52,68.11,57.74,1.63,45.0,2020,0.13,0.06699999999999998
Chesson Hadley,0.276,0.099,0.437,-0.195,-0.065,296.0,66.71,70.21,53.7,5.86,44.79,2020,0.536,-0.26
Chez Reavie,0.278,-0.107,0.44,0.237,-0.291,284.4,69.73,67.24,61.01,2.53,56.67,2020,0.333,-0.05399999999999999
Chris Baker,-0.12,0.211,0.238,-0.105,-0.463,289.5,69.49,70.07,59.47,5.21,50.77,2020,0.44899999999999995,-0.5680000000000001
Chris Stroud,-0.577,-0.39,-0.194,-0.051,0.058,287.0,59.41,64.61,58.7,3.92,53.33,2020,-0.5840000000000001,0.007000000000000006
Collin Morikawa,1.231,0.44,0.884,0.005,-0.099,297.3,65.54,69.03,59.42,3.7,53.97,2020,1.324,-0.094
Corey Conners,0.405,0.6,0.582,-0.175,-0.603,298.7,67.08,71.55,56.2,3.54,44.44,2020,1.182,-0.778
D.J. Trahan,-0.581,-0.027,-0.191,0.095,-0.457,297.6,64.69,68.2,57.62,3.82,45.45,2020,-0.218,-0.362
Daniel Berger,1.56,0.366,0.396,0.271,0.526,300.2,63.86,66.93,67.45,3.59,59.81,2020,0.762,0.797
Danny Lee,-0.088,0.165,0.238,-0.296,-0.195,302.0,57.07,65.62,59.72,5.05,53.08,2020,0.403,-0.491
Danny Willett,-0.289,-0.004,-0.336,-0.188,0.239,301.2,55.36,62.5,54.07,2.99,56.76,2020,-0.34,0.05099999999999999
David Hearn,-0.281,-0.22,-0.229,0.047,0.12,281.8,68.44,66.88,64.14,3.09,45.59,2020,-0.449,0.16699999999999998
Denny McCarthy,0.469,-0.139,-0.243,-0.137,0.988,293.8,61.6,67.46,56.98,2.78,49.64,2020,-0.382,0.851
Doc Redman,0.594,0.346,0.584,-0.332,-0.004,297.4,68.27,70.8,57.54,2.55,55.0,2020,0.9299999999999999,-0.336
Dominic Bozzelli,-0.963,-0.839,-0.393,-0.23,0.5,299.0,51.69,62.96,54.17,2.78,43.48,2020,-1.232,0.27
Doug Ghim,-0.52,-0.074,-0.244,0.12,-0.321,296.0,63.69,69.58,57.99,5.19,52.63,2020,-0.318,-0.201
Dustin Johnson,1.409,0.612,0.524,0.002,0.271,311.0,59.07,69.27,60.52,4.37,54.17,2020,1.1360000000000001,0.273
Dylan Frittelli,0.245,0.046,0.043,0.267,-0.111,291.3,60.8,65.79,61.78,2.31,50.69,2020,0.089,0.15600000000000003
Emiliano Grillo,-0.182,0.25,0.58,-0.107,-0.905,295.7,66.11,71.54,53.15,4.55,46.74,2020,0.83,-1.012
Fabián Gómez,-0.248,-0.251,-0.137,0.129,0.011,289.2,65.8,66.67,60.91,2.78,58.23,2020,-0.388,0.14
Gary Woodland,0.783,0.052,0.601,-0.21,0.34,305.4,60.02,68.19,60.0,1.96,47.62,2020,0.653,0.13000000000000003
Graeme McDowell,-0.788,-0.586,0.122,-0.103,-0.222,283.9,62.02,63.31,54.26,2.43,36.49,2020,-0.46399999999999997,-0.325
Grayson Murray,-0.691,0.164,-0.167,0.083,-0.77,313.8,54.17,63.89,55.56,3.97,43.55,2020,-0.0030000000000000027,-0.687
Hank Lebioda,-0.621,-0.062,-0.053,0.109,-0.615,294.7,60.34,67.68,55.94,3.51,49.45,2020,-0.11499999999999999,-0.506
Harold Varner III,0.93,0.458,0.442,0.244,-0.215,301.9,61.69,70.57,58.93,2.27,43.97,2020,0.9,0.028999999999999998
Harris English,1.467,0.215,0.454,0.279,0.518,300.9,61.75,70.91,65.33,1.39,51.3,2020,0.669,0.797
Harry Higgs,-0.122,0.307,-0.361,-0.148,0.08,301.0,62.19,66.06,60.55,1.78,48.65,2020,-0.05399999999999999,-0.06799999999999999
Henrik Norlander,0.281,0.125,0.364,-0.204,-0.004,292.1,69.57,70.65,56.78,4.35,43.97,2020,0.489,-0.208
Hideki Matsuyama,0.964,0.285,0.69,0.458,-0.469,304.4,56.98,68.54,63.72,3.06,55.04,2020,0.9749999999999999,-0.010999999999999954
Ian Poulter,0.689,-0.188,0.137,0.053,0.687,286.8,59.58,62.62,62.23,2.14,54.0,2020,-0.05099999999999999,0.7400000000000001
J.J. Spaun,-0.66,-0.057,-0.266,-0.214,-0.123,297.4,57.83,66.0,50.99,3.8,45.83,2020,-0.323,-0.33699999999999997
J.T. Poston,0.431,0.13,-0.366,0.095,0.572,290.2,63.74,64.74,60.4,1.93,57.25,2020,-0.236,0.6669999999999999
James Hahn,0.327,0.143,0.15,0.117,-0.083,293.7,61.43,69.44,55.05,2.31,40.32,2020,0.293,0.034
Jason Day,0.843,0.146,-0.151,0.632,0.216,299.7,55.9,64.78,62.8,0.33,65.49,2020,-0.0050000000000000044,0.848
Jason Dufner,0.004,0.047,0.472,0.167,-0.681,286.2,66.44,67.83,61.56,3.22,52.58,2020,0.519,-0.514
Jason Kokrak,0.293,0.633,0.168,-0.227,-0.282,312.4,57.64,68.64,59.14,5.0,43.75,2020,0.801,-0.509
Jhonattan Vegas,0.079,0.721,-0.148,-0.146,-0.347,309.0,62.0,70.22,54.48,5.21,39.19,2020,0.573,-0.493
Jim Furyk,0.356,-0.099,0.568,-0.061,-0.052,280.2,74.5,74.22,51.93,1.28,45.45,2020,0.469,-0.11299999999999999
Jim Herman,-0.901,0.21,-0.438,-0.431,-0.24,285.6,69.28,64.17,51.94,4.23,41.96,2020,-0.228,-0.671
Jimmy Walker,-0.846,-0.909,0.444,-0.031,-0.349,298.0,46.81,62.2,51.44,2.43,37.11,2020,-0.465,-0.38
Joaquin Niemann,0.502,0.37,0.562,-0.188,-0.242,301.7,56.48,69.3,57.86,3.14,51.35,2020,0.932,-0.43
Joel Dahmen,0.588,0.356,0.336,-0.04,-0.063,295.4,64.58,63.85,60.51,2.53,50.71,2020,0.692,-0.10300000000000001
Jon Rahm,1.823,0.756,0.283,0.304,0.479,307.6,63.11,70.31,64.52,1.11,58.82,2020,1.039,0.7829999999999999
Jordan Spieth,0.137,-0.279,0.082,0.33,0.004,301.6,52.14,62.37,57.86,2.29,49.09,2020,-0.197,0.334
Joseph Bramlett,-0.298,-0.072,0.015,-0.086,-0.155,299.3,57.35,70.02,53.15,5.88,48.1,2020,-0.056999999999999995,-0.241
Josh Teater,-0.793,-0.08,0.095,-0.009,-0.8,294.0,68.24,71.54,53.33,5.16,35.29,2020,0.015,-0.809
Justin Rose,0.318,0.218,0.233,-0.108,-0.025,299.6,60.34,63.16,57.54,1.71,61.29,2020,0.451,-0.133
Justin Thomas,1.709,0.405,0.997,0.339,-0.031,304.2,57.25,69.61,63.16,3.09,62.5,2020,1.4020000000000001,0.30800000000000005
K.H. Lee,-0.182,0.066,-0.274,0.129,-0.102,296.4,64.98,65.2,62.08,3.47,53.28,2020,-0.20800000000000002,0.02700000000000001
Keegan Bradley,-0.045,0.175,0.351,0.112,-0.683,301.0,59.7,66.42,55.72,3.06,51.28,2020,0.526,-0.5710000000000001
Keith Mitchell,-0.258,0.412,-0.431,-0.459,0.22,301.9,58.32,65.02,53.1,3.44,48.04,2020,-0.019000000000000017,-0.23900000000000002
Kevin Chappell,-0.364,-0.099,-0.304,-0.158,0.198,300.6,56.54,65.18,57.98,4.7,47.62,2020,-0.403,0.04000000000000001
Kevin Kisner,0.757,0.058,0.234,-0.093,0.559,289.2,65.23,65.37,63.96,1.85,50.89,2020,0.29200000000000004,0.4660000000000001
Kevin Na,0.691,-0.41,0.267,0.14,0.693,286.9,62.74,63.22,65.96,2.91,55.56,2020,-0.14299999999999996,0.833
Kevin Streelman,0.414,0.246,0.25,0.002,-0.084,293.9,65.88,67.66,55.76,3.14,52.94,2020,0.496,-0.082
Kevin Tway,-1.013,-0.422,-0.35,0.107,-0.349,303.8,49.85,62.62,52.32,2.16,39.19,2020,-0.772,-0.242
Kramer Hickok,-0.53,0.195,-0.384,0.193,-0.534,292.8,67.15,66.21,63.76,3.59,49.18,2020,-0.189,-0.341
Kris Ventura,-0.115,0.172,-0.314,-0.665,0.694,305.7,59.67,67.17,55.38,4.44,38.18,2020,-0.14200000000000002,0.028999999999999915
Kyle Stanley,0.074,0.048,0.335,0.014,-0.323,285.1,71.29,72.54,58.78,4.68,48.0,2020,0.383,-0.309
Lanto Griffin,0.64,0.076,0.152,0.077,0.336,302.5,57.16,65.52,63.4,2.35,54.49,2020,0.22799999999999998,0.41300000000000003
Louis Oosthuizen,-0.06,0.075,-0.126,-0.268,0.258,300.1,60.63,65.28,58.0,2.56,43.21,2020,-0.051000000000000004,-0.010000000000000009
Lucas Glover,0.085,0.327,0.4,-0.286,-0.356,301.6,64.63,68.74,57.03,5.03,49.18,2020,0.7270000000000001,-0.6419999999999999
Luke List,0.301,0.387,0.3,0.118,-0.504,307.8,57.45,69.48,57.52,3.28,53.85,2020,0.687,-0.386
Mackenzie Hughes,0.392,-0.352,-0.39,0.454,0.681,298.7,55.77,63.41,60.52,2.27,54.4,2020,-0.742,1.135
Marc Leishman,-0.239,-0.202,0.366,-0.143,-0.26,295.8,51.88,61.48,55.32,3.7,42.11,2020,0.16399999999999998,-0.403
Mark Anderson,-0.075,-0.123,0.192,-0.171,0.027,293.1,59.51,66.78,65.12,4.07,54.88,2020,0.069,-0.14400000000000002
Mark Hubbard,0.508,-0.044,0.204,-0.065,0.413,290.1,62.84,66.67,60.85,0.93,47.26,2020,0.15999999999999998,0.348
Martin Laird,-0.082,0.251,0.187,-0.023,-0.497,302.1,63.74,70.51,60.87,4.63,32.2,2020,0.438,-0.52
Martin Trainer,-3.454,-0.76,-2.115,-0.253,-0.325,302.1,48.07,52.05,51.13,3.33,47.95,2020,-2.875,-0.5780000000000001
Matt Every,-1.766,-0.335,-0.4,-0.395,-0.636,292.3,58.03,65.06,48.76,4.94,39.47,2020,-0.7350000000000001,-1.0310000000000001
Matt Fitzpatrick,1.067,0.206,0.094,-0.113,0.88,294.7,64.58,66.05,58.79,1.48,47.17,2020,0.3,0.767
Matt Jones,-0.129,0.159,-0.438,0.089,0.061,297.3,59.17,66.23,58.01,2.66,58.33,2020,-0.279,0.15
Matt Kuchar,0.677,-0.039,0.014,0.015,0.687,282.9,65.82,64.98,60.91,1.39,58.43,2020,-0.025,0.7020000000000001
Matt Wallace,0.031,0.158,-0.554,0.401,0.027,301.7,53.08,63.64,58.33,3.42,59.3,2020,-0.396,0.42800000000000005
Matthew NeSmith,0.279,-0.156,0.473,-0.158,0.12,295.0,64.14,70.18,60.0,1.52,49.48,2020,0.31699999999999995,-0.038000000000000006
Matthew Wolff,0.491,0.607,0.099,-0.337,0.123,311.6,58.98,66.82,57.01,3.17,43.48,2020,0.706,-0.21400000000000002
Maverick McNealy,0.244,0.025,-0.391,-0.053,0.663,296.6,58.23,65.86,62.53,3.79,61.36,2020,-0.366,0.61
Max Homa,0.279,0.272,0.115,-0.248,0.14,300.6,58.94,64.6,59.87,1.85,49.04,2020,0.387,-0.10799999999999998
Michael Gellerman,-0.525,-0.404,0.088,-0.403,0.194,293.5,62.52,68.25,57.08,5.95,33.33,2020,-0.31600000000000006,-0.20900000000000002
Michael Gligic,-0.208,0.136,-0.089,-0.08,-0.175,298.4,59.46,67.13,59.51,4.9,50.79,2020,0.047000000000000014,-0.255
Michael Thompson,-0.173,-0.187,-0.127,-0.04,0.181,288.4,65.4,64.96,60.87,1.39,57.14,2020,-0.314,0.141
Nate Lashley,-0.321,-0.276,-0.353,0.106,0.201,287.0,62.05,64.85,57.75,2.05,46.99,2020,-0.629,0.307
Nelson Ledesma,-1.835,-0.704,-0.645,-0.424,-0.062,298.2,50.98,62.64,56.88,2.43,48.15,2020,-1.349,-0.486
Nick Taylor,0.073,0.094,0.052,-0.03,-0.043,296.6,64.24,66.95,56.98,2.16,46.34,2020,0.146,-0.073
Nick Watney,0.276,-0.433,0.416,0.162,0.132,302.3,55.45,70.2,55.51,2.43,45.31,2020,-0.017000000000000015,0.29400000000000004
Pat Perez,0.272,-0.163,0.252,-0.069,0.253,290.3,62.75,70.51,59.25,3.27,57.83,2020,0.089,0.184
Patrick Cantlay,1.316,0.404,0.523,0.17,0.219,303.1,59.35,68.36,59.54,4.63,55.41,2020,0.927,0.389
Patrick Reed,1.295,0.278,0.102,0.316,0.599,296.0,56.08,65.32,63.64,1.67,60.61,2020,0.38,0.915
Patrick Rodgers,0.386,0.211,-0.465,-0.018,0.657,308.5,52.95,66.97,58.23,1.5,49.15,2020,-0.254,0.639
Patton Kizzire,-0.606,-0.661,-0.368,-0.031,0.453,294.8,54.03,64.85,56.61,2.34,45.45,2020,-1.029,0.42200000000000004
