,player_name,p_top10,sg_total,career_top10_rate,course_starts,career_avg_finish,recent_avg_finish
1,Rory McIlroy,0.52231103,1.543,0.43126285942410253,8.0,24.79231966097184,17.0
2,Scottie Scheffler,0.51099634,2.743,0.5902427040361957,6.0,19.73260177498439,11.2
3,Ben Griffin,0.3449311,1.223,0.15058037921698986,0.0,43.273612940180065,32.4
4,Robert MacIntyre,0.32351258,0.894,0.24892202123502255,3.0,40.185091106592395,21.4
5,Russell Henley,0.31364495,1.317,0.12194997588661824,5.0,39.85458674762531,30.8
6,Ludvig Åberg,0.26037994,0.506,0.3244934226952507,2.0,32.83883033148441,45.4
7,Justin Thomas,0.23716603,1.001,0.2606469958506084,8.0,34.13870294961405,29.8
8,Keegan Bradley,0.23001434,0.981,0.13223982378110574,4.0,41.94207965037721,20.4
9,Michael Kim,0.20407176,0.563,0.08211162406635888,2.0,55.30976992080472,35.8
10,Collin Morikawa,0.19748695,0.892,0.3358336292690532,6.0,31.04409803123349,24.0
11,Sepp Straka,0.19716394,1.072,0.13190507595899523,4.0,48.90394076783962,34.4
12,Tommy Fleetwood,0.18531744,1.629,0.2321267021032891,8.0,31.57401892455416,29.2
13,Jordan Spieth,0.17993702,0.899,0.2457216227162801,8.0,38.13870294961406,32.6
14,Matt Fitzpatrick,0.17818359,0.647,0.26459619275743584,8.0,36.201410570062755,51.6
15,Maverick McNealy,0.17741017,0.74,0.2084951200642183,1.0,44.719132181423916,24.6
16,Justin Rose,0.1750573,0.084,0.25374296003492575,8.0,42.74198416884458,64.8
17,Bud Cauley,0.17106183,0.645,0.09123513785150988,0.0,45.751596208301535,41.6
18,Denny McCarthy,0.16658564,0.597,0.11149691269368912,2.0,42.8427162780437,29.4
19,Jason Day,0.16584954,0.451,0.21628959852812768,7.0,40.34515278536116,31.8
20,Patrick Cantlay,0.1625441,1.057,0.25349752003263554,8.0,32.152345862690844,33.8
21,Akshay Bhatia,0.15856874,0.638,0.11730232009479842,2.0,46.39490941067341,26.0
22,Nick Taylor,0.15678914,0.654,0.08421412683001446,3.0,46.57156787970078,26.2
23,Shane Lowry,0.1465257,0.769,0.1660236617893117,7.0,37.671808730248095,44.4
24,Xander Schauffele,0.14060183,0.454,0.36512460779090694,8.0,23.7954193675245,29.0
25,Zach Johnson,0.13913399,0.04,0.05598519822706288,8.0,50.62029767327594,48.0
26,Viktor Hovland,0.13859527,0.844,0.20842452221801394,6.0,35.241692684075296,39.2
27,Danny Walker,0.13749371,0.04,0.20904981742725237,0.0,46.899013946305914,38.0
28,Daniel Berger,0.13663669,0.527,0.17356624934862247,4.0,40.30914180521259,30.0
