player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc,gir_pct,scrambling_pct,putts_per_round,scoring_avg,season,sg_ballstriking,sg_shortgame,dg_rank
Scottie Scheffler,2.743,0.748,1.291,0.322,0.382,308.3,63.04,71.39,68.69,2.5,57.73,2025,2.0389999999999997,0.704,1
Tommy Fleetwood,1.629,0.242,0.711,0.272,0.404,299.4,65.37,65.84,63.3,2.34,59.63,2025,0.953,0.676,2
Rory McIlroy,1.543,0.671,0.157,0.118,0.597,323.0,51.24,67.72,63.8,5.19,56.0,2025,0.8280000000000001,0.715,3
Russell Henley,1.317,0.071,0.577,0.449,0.22,289.1,68.68,70.06,63.4,4.09,60.78,2025,0.6479999999999999,0.669,4
Ben Griffin,1.223,0.196,0.466,0.153,0.407,305.1,60.03,69.66,63.56,1.15,63.46,2025,0.662,0.5599999999999999,5
Harry Hall,1.178,-0.069,-0.017,0.384,0.881,303.6,58.05,65.01,65.88,0.67,58.56,2025,-0.08600000000000001,1.2650000000000001,6
J.J. Spaun,1.158,0.291,0.738,0.017,0.113,306.1,62.05,69.54,60.92,2.89,60.32,2025,1.029,0.13,7
Sepp Straka,1.072,0.228,0.677,-0.07,0.237,297.9,65.66,70.18,59.31,3.44,57.39,2025,0.905,0.16699999999999998,8
Patrick Cantlay,1.057,0.298,0.564,0.04,0.155,305.9,58.94,70.05,59.65,2.5,55.36,2025,0.8619999999999999,0.195,9
Justin Thomas,1.001,0.078,0.325,0.259,0.34,305.3,53.32,65.28,59.2,2.65,62.94,2025,0.403,0.599,10
Sam Burns,0.997,0.146,-0.118,-0.014,0.983,307.5,60.2,66.08,60.28,2.0,63.03,2025,0.027999999999999997,0.969,11
Keegan Bradley,0.981,0.316,0.278,0.443,-0.056,306.4,61.39,66.04,62.58,1.59,60.87,2025,0.5940000000000001,0.387,12
Jordan Spieth,0.899,0.313,0.23,0.204,0.152,306.6,58.12,64.62,59.58,2.78,60.87,2025,0.543,0.356,13
Robert MacIntyre,0.894,0.228,0.312,0.103,0.251,302.7,61.48,68.65,60.76,2.27,64.52,2025,0.54,0.354,14
Collin Morikawa,0.892,0.492,0.765,-0.052,-0.313,298.3,70.65,69.23,59.86,2.78,58.26,2025,1.2570000000000001,-0.365,15
Viktor Hovland,0.844,0.099,0.945,-0.13,-0.07,303.3,63.13,67.26,57.44,5.86,59.04,2025,1.044,-0.2,16
Kurt Kitayama,0.826,0.535,0.389,0.17,-0.269,318.0,57.75,67.79,58.74,1.77,53.27,2025,0.924,-0.099,17
Aaron Rai,0.808,0.391,0.476,0.077,-0.134,289.6,73.85,70.52,59.16,3.06,61.18,2025,0.867,-0.05700000000000001,18
Thorbjørn Olesen,0.802,0.22,0.209,0.021,0.352,304.7,64.29,71.65,59.55,1.93,49.07,2025,0.429,0.373,19
Cameron Young,0.802,0.317,-0.124,-0.033,0.642,313.2,53.85,64.18,59.36,2.22,60.45,2025,0.193,0.609,20
Kevin Yu,0.794,0.615,0.31,-0.145,0.013,309.4,63.29,70.67,55.6,4.17,52.59,2025,0.925,-0.13199999999999998,21
Garrick Higgo,0.782,0.127,-0.114,0.107,0.661,312.9,58.14,71.64,65.71,2.56,47.54,2025,0.012999999999999998,0.768,22
Shane Lowry,0.769,0.084,0.765,0.042,-0.123,298.1,63.01,67.06,62.17,3.8,56.73,2025,0.849,-0.08099999999999999,23
Hideki Matsuyama,0.755,-0.171,0.483,0.477,-0.034,300.2,58.5,65.7,64.97,2.9,70.55,2025,0.31199999999999994,0.44299999999999995,24
Si Woo Kim,0.751,0.343,0.425,0.35,-0.367,297.4,66.79,66.67,62.12,3.45,63.33,2025,0.768,-0.017000000000000015,25
Maverick McNealy,0.74,0.185,0.28,-0.075,0.35,306.8,59.15,68.14,57.88,2.56,52.26,2025,0.465,0.27499999999999997,26
Nicolai Højgaard,0.715,0.212,0.6,-0.288,0.19,318.8,53.19,70.41,55.23,1.74,52.94,2025,0.8119999999999999,-0.09799999999999998,27
Pierceson Coody,0.714,0.789,0.058,-0.006,-0.126,311.5,63.26,72.22,61.92,3.33,57.63,2025,0.8470000000000001,-0.132,28
Corey Conners,0.683,0.388,0.315,-0.153,0.133,298.2,66.64,69.2,59.02,2.65,54.86,2025,0.7030000000000001,-0.01999999999999999,29
Taylor Pendrith,0.664,0.542,0.128,-0.034,0.028,311.2,58.74,68.97,57.86,3.62,57.39,2025,0.67,-0.006000000000000002,30
Alex Smalley,0.657,0.409,0.083,0.125,0.043,306.2,63.96,68.73,63.22,3.7,58.88,2025,0.492,0.16799999999999998,31
Nick Taylor,0.654,0.002,0.427,0.097,0.128,295.2,66.58,68.9,62.75,3.38,56.56,2025,0.429,0.225,32
Lee Hodges,0.653,0.075,0.465,0.056,0.056,299.7,64.95,71.23,63.86,2.66,56.19,2025,0.54,0.112,33
Matt Fitzpatrick,0.647,0.103,0.123,0.095,0.326,302.7,61.29,66.74,61.4,3.33,66.98,2025,0.22599999999999998,0.42100000000000004,34
Bud Cauley,0.645,0.149,0.377,0.002,0.118,301.4,61.24,65.92,60.13,3.7,60.55,2025,0.526,0.12,35
Akshay Bhatia,0.638,0.024,0.575,-0.238,0.277,298.7,60.51,67.5,56.19,2.44,61.16,2025,0.599,0.039000000000000035,36
Jake Knapp,0.617,0.248,0.003,-0.089,0.456,313.4,55.62,67.6,62.14,2.02,61.39,2025,0.251,0.367,37
Harris English,0.611,0.26,-0.07,0.003,0.418,304.3,61.76,66.67,63.64,2.66,61.95,2025,0.19,0.421,38
Sami Valimaki,0.605,-0.301,0.516,-0.158,0.548,295.9,62.39,69.02,60.34,3.33,48.89,2025,0.21500000000000002,0.39,39
Denny McCarthy,0.597,-0.258,0.202,-0.026,0.679,295.3,60.78,66.41,61.09,2.17,58.09,2025,-0.055999999999999994,0.653,40
Chris Gotterup,0.585,0.566,-0.013,0.029,0.004,316.7,55.75,70.33,63.58,3.29,60.19,2025,0.5529999999999999,0.033,41
Victor Perez,0.568,0.09,0.479,-0.215,0.215,304.4,64.66,71.61,60.14,1.39,54.05,2025,0.569,0.0,42
Michael Kim,0.563,0.043,0.368,0.155,-0.003,299.7,58.93,64.99,62.98,1.85,71.54,2025,0.411,0.152,43
Daniel Berger,0.527,0.414,0.456,-0.192,-0.151,302.9,66.42,68.21,61.5,4.04,47.27,2025,0.87,-0.34299999999999997,44
Matt McCarty,0.524,0.09,-0.055,0.054,0.435,298.9,65.06,66.8,62.8,2.89,53.15,2025,0.034999999999999996,0.489,45
Patrick Fishburn,0.52,0.263,0.144,-0.059,0.171,305.6,58.32,71.58,57.98,2.78,47.52,2025,0.40700000000000003,0.11200000000000002,46
Kevin Roy,0.518,0.289,0.032,0.011,0.186,305.6,65.4,68.97,60.91,1.65,55.37,2025,0.32099999999999995,0.197,47
Emiliano Grillo,0.512,0.184,0.303,-0.261,0.286,300.3,68.47,68.52,59.2,2.88,58.65,2025,0.487,0.024999999999999967,48
Ludvig Åberg,0.506,0.524,0.037,-0.107,0.051,313.9,59.52,66.18,60.0,1.94,62.71,2025,0.561,-0.056,49
Keith Mitchell,0.501,0.533,0.172,-0.193,-0.012,314.2,60.36,70.5,62.11,4.86,60.8,2025,0.7050000000000001,-0.20500000000000002,50
Andrew Putnam,0.501,-0.69,0.287,0.465,0.439,280.5,71.77,70.26,65.15,1.28,63.96,2025,-0.40299999999999997,0.904,51
Ryan Fox,0.47,-0.047,0.303,0.021,0.193,308.7,52.28,64.21,54.77,2.5,54.81,2025,0.256,0.214,52
Matt Kuchar,0.462,-0.263,0.098,0.257,0.37,282.2,66.0,66.34,67.72,0.93,58.24,2025,-0.165,0.627,53
J.T. Poston,0.462,0.158,0.076,0.188,0.04,295.6,66.15,66.18,60.36,3.78,59.6,2025,0.23399999999999999,0.228,54
Jesper Svensson,0.461,0.553,-0.127,0.092,-0.056,318.6,56.67,67.73,57.45,3.78,57.27,2025,0.42600000000000005,0.036,55
Xander Schauffele,0.454,0.076,0.578,-0.016,-0.184,311.9,55.58,66.93,57.48,4.17,54.55,2025,0.6539999999999999,-0.2,56
Jason Day,0.451,0.092,-0.113,0.301,0.171,300.3,61.06,66.04,60.42,1.31,55.7,2025,-0.021000000000000005,0.472,57
